Degree,Type
Bachelor of Medicine & Bachelor of Surgery,Bachelor 
Bachelor of Optometry,Bachelor 
Bachelor of Performing Arts (Dance),Bachelor 
Bachelor of Performing Arts (Music),Bachelor 
Bachelor of Pharmacy,Bachelor 
Bachelor of Physical Education,Bachelor 
Bachelor of Physiotherapy,Bachelor 
Bachelor of Science (Agriculture Biotechnology),Bachelor 
Bachelor of Science (General),Bachelor 
Bachelor of Science (Medical Technology) Radiology,Bachelor 
Bachelor of Science Agriculture,Bachelor 
Bachelor of Science Agrilcultural Marketing & Business Management,Bachelor 
Bachelor of Science Anthropology (Honors),Bachelor 
Bachelor of Science Aviation,Bachelor 
Bachelor of Science Biochemistry,Bachelor 
Bachelor of Science Biochemistry (Honors),Bachelor 
Bachelor of Science Biological Sciences (Honors),Bachelor 
Bachelor of Science Biomedical Sciences (Honors),Bachelor 
Bachelor of Science Biotechnology,Bachelor 
Bachelor of Science Botany,Bachelor 
Bachelor of Science Botany (Honors),Bachelor 
Bachelor of Science Chemistry,Bachelor 
Bachelor of Science Chemistry (Honors),Bachelor 
Bachelor of Science Commercial Agriculture & Business Management,Bachelor 
Bachelor of Science Computer Science,Bachelor 
Bachelor of Science Enviormental Sciences,Bachelor 
Bachelor of Science Fashion & Apparel Designing,Bachelor 
Bachelor of Science Fashion Design,Bachelor 
Bachelor of Science Fashion Technology,Bachelor 
Bachelor of Science Fisheries,Bachelor 
Bachelor of Science Food Technology,Bachelor 
Bachelor of Science Forensic Science,Bachelor 
Bachelor of Science Forestry,Bachelor 
Bachelor of Science Genetics,Bachelor 
Bachelor of Science Geology (Honors),Bachelor 
Bachelor of Science Home Science,Bachelor 
Bachelor of Science Home Science Interior Design,Bachelor 
Bachelor of Science Home Science Nutrition & Dietetics,Bachelor 
Bachelor of Science Horticulture,Bachelor 
Bachelor of Science Hotel Management and Catering Technology,Bachelor 
Bachelor of Science Hotel Management and Tourism,Bachelor 
Bachelor of Science Information Technology,Bachelor 
Bachelor of Science Interior Design,Bachelor 
Bachelor of Science Life Science,Bachelor 
Bachelor of Science Mathematics,Bachelor 
Bachelor of Science Mathematics (Honors),Bachelor 
Bachelor of Science Medical Laboratory Technology,Bachelor 
Bachelor of Science Medical Technology,Bachelor 
Bachelor of Science Microbiology,Bachelor 
Bachelor of Science Microbiology (Honors),Bachelor 
Bachelor of Science Nautical Science,Bachelor 
Bachelor of Science Nursing (Honors),Bachelor 
